No,Question,Answer,Category
1,What has to be broken before you can use it?,Egg,Easy
2," I’m tall when I’m young, and I’m short when I’m old. What am I?",A candle,Easy
3,What month of the year has 28 days?,All of them,Easy
4,What is full of holes but still holds water?,A sponge,Easy
5,What question can you never answer yes to?,Are you asleep yet?,Easy
6,What is always in front of you but can’t be seen?,The future,Easy
7,"There’s a one-story house in which everything is yellow. Yellow walls, yellow doors, yellow furniture. What color are the stairs?",There aren’t any—it’s a one-story house,Easy
8,"What can you break, even if you never pick it up or touch it?",A promise,Easy
9,What goes up but never comes down?,Your age,Easy
10,A man who was outside in the rain without an umbrella or hat didn’t get a single hair on his head wet. Why?,He was bald.,Easy
11,What gets wet while drying?,A towel,Easy
12,What can you keep after giving to someone?,Your word,Easy
13," I shave every day, but my beard stays the same. What am I?",A barber,Easy
14,"You see a boat filled with people, yet there isn’t a single person on board. How is that possible?",All the people on the boat are married.,Easy
15,"You walk into a room that contains a match, a kerosene lamp, a candle and a fireplace. What would you light first?",The match,Easy
16,A man dies of old age on his 25 birthday. How is this possible?,He was born on February 29.,Easy
17," have branches, but no fruit, trunk or leaves. What am I?",A bank,Easy
18,What can’t talk but will reply when spoken to?,An echo,Easy
19,"The more of this there is, the less you see. What is it?",Darkness,Easy
20,"David’s parents have three sons: Snap, Crackle, and what’s the name of the third son?",David,Kids
21,"I follow you all the time and copy your every move, but you can’t touch me or catch me. What am I?",Your shadow,Kids
22,What has many keys but can’t open a single lock?,A piano,Kids
23,What can you hold in your left hand but not in your right?,Your right elbow,Kids
24,What is black when it’s clean and white when it’s dirty?,A chalkboard,Kids
25,What gets bigger when more is taken away?,A hole,Kids
26,"I’m light as a feather, yet the strongest person can’t hold me for five minutes. What am I?",Your breath,Kids
27,"I’m found in socks, scarves and mittens; and often in the paws of playful kittens. What am I?",Yarn,Kids
28,Where does today come before yesterday?,The dictionary,Kids
29,What invention lets you look right through a wall?,A window,Kids
30,"If you’ve got me, you want to share me; if you share me, you haven’t kept me. What am I?",A secret,Kids
31,What can’t be put in a saucepan?,It’s lid,Kids
32,What goes up and down but doesn’t move?,A staircase,Kids
33,"If you’re running in a race and you pass the person in second place, what place are you in?",Second place,Kids
34,"It belongs to you, but other people use it more than you do. What is it?",Your name,Kids
35,"What has lots of eyes, but can’t see?",A potato,Funny
36,"What has one eye, but can’t see?",A needle,Funny
37,"What has many needles, but doesn’t sew?",A Christmas tree,Funny
38,"What has hands, but can’t clap?",A clock,Funny
39,"What has legs, but doesn’t walk?",A table,Funny
40,"What has one head, one foot and four legs?",A bed,Funny
41,"What can you catch, but not throw?",A cold,Funny
42,What kind of band never plays music?,A rubber band,Funny
43,"What has many teeth, but can’t bite?",A comb,Funny
44,"What is cut on a table, but is never eaten?",A deck of cards,Funny
45,"What has words, but never speaks?",A book,Funny
46,"What runs all around a backyard, yet never moves?",A fence,Funny
47,What can travel all around the world without leaving its corner?,A stamp,Funny
48,"What has a thumb and four fingers, but is not a hand?",A glove,Funny
49,What has a head and a tail but no body?,A coin,Funny
50,Where does one wall meet the other wall?,On the corner,Funny
51,What building has the most stories?,The library,Funny
52,What tastes better than it smells?,Your tongue,Funny
53,"What has 13 hearts, but no other organs?",A deck of cards,Funny
54,It stalks the countryside with ears that can’t hear. What is it?,Corn,Funny
55,What kind of coat is best put on wet?,A coat of paint,Funny
56,What has a bottom at the top?,Your legs,Funny
57,What has four wheels and flies?,A garbage truck,Funny
58, I am an odd number. Take away a letter and I become even. What number am I?,Seven,Math
59,"If two’s company, and three’s a crowd, what are four and five?",Nine,Math
60,"What three numbers, none of which is zero, give the same result whether they’re added or multiplied?","One, two and three",Math
61,"Mary has four daughters, and each of her daughters has a brother. How many children does Mary have?",Five—each daughter has the same brother.,Math
62,Which is heavier: a ton of bricks or a ton of feathers?,Neither—they both weigh a ton.,Math
63,hree doctors said that Bill was their brother. Bill says he has no brothers. How many brothers does Bill actually have?,None. He has three sisters.,Math
64,"Two fathers and two sons are in a car, yet there are only three people in the car. How?","They are a grandfather, father and son.",Math
65,"The day before yesterday I was 21, and next year I will be 24. When is my birthday?",December 31; today is January 1.,Math
66,"A little girl goes to the store and buys one dozen eggs. As she is going home, all but three break. How many eggs are left unbroken?",Three,Math
67,"A man describes his daughters, saying, “They are all blonde, but two; all brunette but two; and all redheaded but two.” How many daughters does he have?","Three: A blonde, a brunette and a redhead",Math
68,"If there are three apples and you take away two, how many apples do you have?",You have two apples.,Math
69,"A girl has as many brothers as sisters, but each brother has only half as many brothers as sisters. How many brothers and sisters are there in the family?",Four sisters and three brothers,Math
70,What five-letter word becomes shorter when you add two letters to it?,Short,Word
71,"What begins with an ""e"" and only contains one letter?",An envelope,Word
72,"A word I know, six letters it contains, remove one letter and 12 remains. What is it?",Dozens,Word
73,What would you find in the middle of Toronto?,The letter “o”,Word
74,"You see me once in June, twice in November and not at all in May. What am I?",The letter “e”,Word
75,"Two in a corner, one in a room, zero in a house, but one in a shelter. What is it?",The letter “r”,Word
76,"I am the beginning of everything, the end of everywhere. I'm the beginning of eternity, the end of time and space. What am I?",Also the letter “e”,Word
77,"What 4-letter word can be written forward, backward or upside down, and can still be read from left to right?",NOON,Word
78," Forward I am heavy, but backward I am not. What am I?",The word “not”,Word
79,"What is 3/7 chicken, 2/3 cat and 2/4 goat?",Chicago,Word
80, I am a word of letters three; add two and fewer there will be. What word am I?,Few,Word
81,What is the end of everything?,The letter “g”,Word
82,What word is pronounced the same if you take away four of its five letters?,Queue,Word
83,"I am a word that begins with the letter “i.” If you add the letter “a” to me, I become a new word with a different meaning, but that sounds exactly the same. What word am I?",Isle (add “a” to make “aisle”),Word
84,"What word in the English language does the following: The first two letters signify a male, the first three letters signify a female, the first four letters signify a great, while the entire world signifies a great woman. What is the word?",Heroine,Word
85,What word of five letters has one left when two are removed?,Stone,Word
86,What is so fragile that saying its name breaks it?,Silence,Hard
87,"What can run but never walks, has a mouth but never talks, has a head but never weeps, has a bed but never sleeps?",A river,Hard
88,"Speaking of rivers, a man calls his dog from the opposite side of the river. The dog crosses the river without getting wet, and without using a bridge or boat. How?",The river was frozen.,Hard
89,What can fill a room but takes up no space?,Light,Hard
90,"If you drop me I’m sure to crack, but give me a smile and I’ll always smile back. What am I?",A mirror,Hard
91,"The more you take, the more you leave behind. What are they?",Footsteps,Hard
92,"I turn once, what is out will not get in. I turn again, what is in will not get out. What am I?",A key,Hard
93,"People make me, save me, change me, raise me. What am I?",Money,Hard
94,"What breaks yet never falls, and what falls yet never breaks?","Day, and night",Hard
95,"What goes through cities and fields, but never moves?",A road,Hard
96,"I am always hungry and will die if not fed, but whatever I touch will soon turn red. What am I?",Fire,Hard
97,The person who makes it has no need of it; the person who buys it has no use for it. The person who uses it can neither see nor feel it. What is it?,A coffin,Hard
98,"A man looks at a painting in a museum and says, “Brothers and sisters I have none, but that man’s father is my father’s son.” Who is in the painting?",The man’s son,Hard
99,"With pointed fangs I sit and wait; with piercing force I crunch out fate; grabbing victims, proclaiming might; physically joining with a single bite. What am I?",A stapler,Hard
100,"I have lakes with no water, mountains with no stone and cities with no buildings. What am I?",A map,Hard
101,"What does man love more than life, hate more than death or mortal strife; that which contented men desire; the poor have, the rich require; the miser spends, the spendthrift saves, and all men carry to their graves?",Nothing,Hard
102,What has keys but can't open locks?,Piano,Easy
103,"I speak without a mouth and hear without ears. I have no body, but I come alive with the wind. What am I?",An echo,Easy
